City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Korla,41.7597,86.1469,62.91,48,99,17.52,CN,1620793947
132,Port-Gentil,-0.7193,8.7815,80.87,79,50,7.43,GA,1620793947
133,Poum,-20.2333,164.0167,79.27,77,100,14.32,NC,1620793948
134,Dikson,73.5069,80.5464,29.14,88,100,17.67,RU,1620793948
135,Celestún,20.8667,-90.4,83.61,66,71,17.36,MX,1620793949
136,Constitución,-35.3333,-72.4167,53.51,53,29,5.73,CL,1620793949
137,Coahuayana Viejo,18.7333,-103.6833,77.58,86,100,1.63,MX,1620793950
138,Colquechaca,-18.6667,-66.0167,32.5,77,89,2.91,BO,1620793950
139,Meulaboh,4.1363,96.1285,83.55,72,94,0.85,ID,1620793951
140,Abonnema,4.7084,6.7931,77.27,85,98,4.63,NG,1620793932
141,San Juan,-31.5375,-68.5364,56.7,52,0,7.9,AR,1620793951
142,Bikin,46.8161,134.26,58.68,57,100,11.45,RU,1620793951
143,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.4,35,42,8.95,RU,1620793952
144,Emba,48.8264,58.1442,66.9,34,58,16.53,KZ,1620793952
145,Geraldton,-28.7667,114.6,78.8,61,40,8.05,AU,1620793866
146,Nabire,-3.3667,135.4833,85.59,68,46,5.73,ID,1620793953
147,Inhambane,-23.865,35.3833,59.0,100,20,1.5,MZ,1620793953
148,Severo-Kuril'sk,50.6789,156.125,36.81,87,73,13.02,RU,1620793933
149,Kaitangata,-46.2817,169.8464,51.01,61,52,1.19,NZ,1620793954
150,Council Bluffs,41.2619,-95.8608,51.01,66,75,6.78,US,1620793867
151,Lamar,33.6668,-95.5836,55.99,94,90,8.05,US,1620793955
152,Khuzhir,53.1939,107.3397,40.66,77,70,6.46,RU,1620793955
153,Marand,38.4329,45.7749,64.4,42,0,4.61,IR,1620793821
154,Talnakh,69.4865,88.3972,34.02,100,100,2.04,RU,1620793956
155,Kananga,-5.8958,22.4178,65.46,80,0,3.13,CD,1620793956
156,Fortuna,40.5982,-124.1573,52.0,87,1,3.44,US,1620793956
157,Mbuyapey,-26.2,-56.75,55.04,97,100,4.74,PY,1620793957
158,Chui,-33.6971,-53.4616,52.95,71,78,6.73,UY,1620793957
159,Olafsvik,64.8945,-23.7142,38.28,63,87,3.36,IS,1620793958
160,Mossamedes,-15.1961,12.1522,72.0,63,2,5.97,AO,1620793958
161,Rafaela,-31.2503,-61.4867,46.0,53,0,2.53,AR,1620793958
162,Swabi,34.1199,72.4699,85.46,36,30,3.2,PK,1620793959
163,Esim,4.8699,-2.2405,78.57,81,11,6.76,GH,1620793959
164,Baghdad,33.3406,44.4009,84.2,32,2,2.3,IQ,1620793813
